Linkhous,http://www.linkhous.com/,https://itunes.apple.com/kr/app/%ED%99%88%EB%B2%84%ED%8A%BC-%EC%9B%94%EC%84%B8%EA%B4%80%EB%A6%AC-%EB%AA%A8%EB%B0%94%EC%9D%BC-%EA%B0%84%ED%8E%B8%EC%84%9C%EB%B9%84%EC%8A%A4/id1308158912?mt=8,홈버튼 ,임대료 수납관리 자동화 서비스,{클라우드} 기술 기반의 {부동산} ? {임대관리} 분야에서 {모바일앱} 형태로 {Online} ? {지원} 합니다
Linkhous,http://www.linkhous.com/,,,,
LINKSTARTER,http://linkstarter.co,http://linkstarter.co,링크스타터 ,스타트업 구인구직 플랫폼,{검색} 기술 기반의 {기업} ? {채용} 분야에서 {웹사이트} 형태로 {Online} ? {중개} 합니다
LINKSTARTER,http://linkstarter.co,,,,
Linkup,http://link-up.co.kr,http://link-up.co.kr/proeye7,프로아이 ,제조업의 생산성 향상 및 원가절감에 도움을 주는 응용 소프트웨어,{프로그램개발} 기술 기반의 {기업} ? {품질관리} 분야에서 {소프트웨어} 형태로 {Online} ? {제조/공급} 합니다
LionRocket,https://lionrocket.ai/,,음성 합성 엔진 ,딥러닝 기반 음성 합성 기술기반 음성 엔진,{음향처리} 기술 기반의 {콘텐츠} ? {기술지원} 분야에서 {API/SDK} 형태로 {Online} ? {지원} 합니다
LionRocket,https://lionrocket.ai/,,,,
ListenSoft,http://listensoft.net/,https://play.google.com/store/apps/details?id=net.listensoft.kyaraten&hl=ko,그린티콘 ,내가 그린 캐릭터와 찍은 사진으로 날씨를 예보받는 앱,{프로그램개발} 기술 기반의 {콘텐츠} ? {이미지/영상} 분야에서 {모바일앱} 형태로 {Online} ? {지원} 합니다
ListenSoft,http://listensoft.net/,,,,
Listly,https://www.listly.io/,https://www.listly.io/,리스틀리 ,웹 스크래핑 솔루션,{프로그램개발} 기술 기반의 {기업} ? {데이터가공} 분야에서 {웹사이트} 형태로 {Online} ? {지원} 합니다
Listly,https://www.listly.io/,,,,
littlesongmusic,https://bgmfactory.com/,https://bgmfactory.com/,비지엠팩토리 ,크리에이터와 영상제작자를 위한 저작권 걱정 없는 배경음악 서비스,{음악/영상스트리밍} 기술 기반의 {콘텐츠} ? {음악퍼블리싱} 분야에서 {웹사이트} 형태로 {Online} ? {구독/멤버십} 합니다
littlesongmusic,https://bgmfactory.com/,,,,
Livemakers,http://livemakers.co.kr,,젤리브릭 ,소녀들의 로망을 반영한 3D 캐릭터 제작 서비스,{3D그래픽/애니메이션} 기술 기반의 {게임} ? {이미지/영상} 분야에서 {콘텐츠} 형태로 {Online} ? {제조/공급} 합니다
Livemakers,http://livemakers.co.kr,,,,
Livsmed,http://www.livsmed.com/,,다관절 복강경 수술 기구 ,다관절 복강경 수술 기구,{제조} 기술 기반의 {바이오/의료} ? {제품} 분야에서 {하드웨어} 형태로 {Offline} ? {제조/공급} 합니다
Livsmed,http://www.livsmed.com/,,,,
Lmeca,http://www.lmeca.co.kr/,http://www.lmeca.co.kr/front/products/ais.do,의료용 석션기 ,중증환자를 위한 인공지능 기반 의료용 석션기,{인공지능} 기술 기반의 {바이오/의료} ? {제품} 분야에서 {하드웨어} 형태로 {Offline} ? {제조/공급} 합니다
Lmeca,http://www.lmeca.co.kr/,,,,
LMFriends,http://www.lmfriends.com/,https://store.cafe24.com/ko/apps/1254/%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5-%EC%87%BC%ED%95%91%EB%AA%B0-%EB%8F%84%EC%9A%B0%EB%AF%B8---%EC%97%98%EC%97%A0%EB%B2%84%EC%8A%A4,엘엠버스 ,카페24 쇼핑몰 인공지능 상담 어시스턴트,{인공지능} 기술 기반의 {기업} ? {고객관리} 분야에서 {API/SDK} 형태로 {Online} ? {지원} 합니다
LMFriends,http://www.lmfriends.com/,,,,
LmitoTherapeutics,http://www.lmitokorea.com/about.html,,미토콘드리아 표적 치료제 ,미토콘드리아와 세포대사 연구를 통한 호흡기질환 치료제,{연구개발} 기술 기반의 {바이오/의료} ? {약품/약물} 분야에서 {상품} 형태로 {Offline} ? {제조/공급} 합니다
LmitoTherapeutics,http://www.lmitokorea.com/about.html,,,,
LNRobotics,,,심혈관 중재시술 보조로봇 ,심혈관 중재시술 보조로봇,{로봇} 기술 기반의 {바이오/의료} ? {보조기구} 분야에서 {하드웨어} 형태로 {Offline} ? {제조/공급} 합니다
LoadInternational,http://load-ing.com,https://drive.google.com/open?id=1MOKExJ8LCTcKPYrdMm5nrBsRR8X4UnAP,써클 ,스마트 수질 통합 안전시스템,{인공지능} 기술 기반의 {환경/에너지} ? {수질오염} 분야에서 {소프트웨어} 형태로 {Online} ? {지원} 합니다
LoadInternational,http://load-ing.com,,,,
LockinCompany,http://www.lockincomp.com/,http://www.lockincomp.com,리앱 ,모바일 앱 소스코드 암호화 보안솔루션,{클라우드} 기술 기반의 {보안} ? {암호화} 분야에서 {API/SDK} 형태로 {Online} ? {지원} 합니다
LockinCompany,http://www.lockincomp.com/,,,,
LOCS,http://locslab.com,,싸이킥 디거 ,인공지능을 이용하여 컨텐츠 댓글을 분석해주는 인플루언서 소통도구,{인공지능} 기술 기반의 {광고마케팅} ? {마케팅분석} 분야에서 {웹사이트} 형태로 {Online} ? {구독/멤버십} 합니다
LOCS,http://locslab.com,,,,
LOCUS,http://locus.com/,,영화 그래픽 제작 ,시각효과 콘텐츠의 기획 및 제작,{3D그래픽/애니메이션} 기술 기반의 {콘텐츠} ? {영화/드라마} 분야에서 {콘텐츠} 형태로 {Offline} ? {지원} 합니다
LOCUS,http://locus.com/,,,,
LogiBrothers,http://logibros.com/,https://codmos.io/,코드모스 ,컴퓨팅 사고력 향상을 위한 게임형 온라인 코딩 교육 솔루션,{프로그램개발} 기술 기반의 {교육} ? {프로그램개발} 분야에서 {웹사이트} 형태로 {Online} ? {지원} 합니다
LogiBrothers,http://logibros.com/,,,,
logiket,http://www.logiket.com,http://www.logiket.com,로지켓 ,물류대행에 견적 데이터를 중개하는 플랫폼,{빅데이터/분석} 기술 기반의 {물류/유통} ? {택배} 분야에서 {웹사이트} 형태로 {Online} ? {중개} 합니다
Logispot,https://www.logi-spot.com/,https://itunes.apple.com/kr/app//id1178000751?mt=8,로지스팟 ,스마트 화물운송 서비스,{클라우드} 기술 기반의 {물류/유통} ? {화물운송} 분야에서 {모바일앱} 형태로 {Online} ? {지원} 합니다
Logispot,https://www.logi-spot.com/,,,,
LOGPRESSO,http://ko.logpresso.com/,http://ko.logpresso.com/,로그프레소 ,실시간 빅데이터 분석 플랫폼,{빅데이터/분석} 기술 기반의 {기업} ? {데이터분석} 분야에서 {소프트웨어} 형태로 {Online} ? {지원} 합니다
LOGPRESSO,http://ko.logpresso.com/,,,,
LookinBody,https://lookinbody.co,https://lookinbody.co,런바디챌린지 ,온라인 다이어트 학습지,{인공지능} 기술 기반의 {헬스케어} ? {헬스/다이어트} 분야에서 {소프트웨어} 형태로 {Online} ? {지원} 합니다
LookinBody,https://lookinbody.co,,,,
LooxidLabs,http://www.looxidlabs.com,http://www.looxidlabs.com/#technology,루시 ,시선-뇌파 기반 인터페이스를 통한 사지마비 환자용 원격 의사소통 솔루션,{사물인터넷/센서} 기술 기반의 {바이오/의료} ? {신경외과} 분야에서 {하드웨어} 형태로 {Offline} ? {제조/공급} 합니다
LooxidLabs,http://www.looxidlabs.com,http://looxidlabs.com/looxidvr/,룩시드VR ,"신경과학분야 연구용 시선,뇌파 측정 VR 기기",{VR/AR} 기술 기반의 {바이오/의료} ? {신경외과} 분야에서 {하드웨어} 형태로 {Offline} ? {제조/공급} 합니다
LooxidLabs,http://www.looxidlabs.com,,,,
Lucentblock,https://www.lucentblock.com/,https://www.lucentblock.com/,루센트블록 ,블록체인 기반 부동산 수익증권 유통 플랫폼,{블록체인} 기술 기반의 {부동산} ? {금융상품} 분야에서 {웹사이트} 형태로 {O2O} ? {유통} 합니다
Lucentblock,https://www.lucentblock.com/,,,,
LuidiaGlobal,https://www.luidia.com/,http://www.penandfree.co.kr/product_lollol.html,이빔 스마트마커 ,모든 화이트보드 표면의 라이브된 노트를 캡쳐하고 실시간 공유 가능한 인터랙티브 스마트 마커,{제조} 기술 기반의 {교육} ? {교육보조} 분야에서 {하드웨어} 형태로 {Offline} ? {제조/공급} 합니다
